camera_id,calibration_date,fx,skew,cx,s,fy,cy,K_20,K_21,K_22,k1,k2,k3,k4,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,rms,n_gcps,image_width,image_height,geotransform_x_min,geotransform_y_max,geotransform_pixel_width,geotransform_pixel_height,output_width,output_height,recalibrated,recalibration_mode,gcps_skipped,gcp_pixel_coords,local_origin_x,local_origin_y,local_origin_z,model_crs
NVR1_N910A6_ch1_main,20251120,2046.157273000000,0.000000000000,1924.952889000000,0.000000000000,2067.452693000000,1107.531751000000,0.000000000000,0.000000000000,1.000000000000,0.152585866000,-0.652682188000,0.776007443000,-0.341762408000,3.038151489000,0.388699422000,0.055472295000,-31.877115920000,20.397417690000,179.685964100000,2.386498144000,18,3840,2160,266508.351599999995,4691268.961000000127,0.002500000000,-0.002500000000,5769,4561,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch2_main,20251120,2225.583094000000,0.000000000000,1942.230626000000,0.000000000000,2255.334552000000,1007.387245000000,0.000000000000,0.000000000000,1.000000000000,0.089191061000,-0.759148651000,1.258480333000,-0.745472150000,-2.987484971000,-0.372815439000,-0.125059596000,-35.693953110000,-13.750717540000,180.304448800000,1.833909768000,14,3840,2160,266508.041800000006,4691271.656000000425,0.002500000000,-0.002500000000,5773,4552,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch3_main,20251120,2023.327779000000,0.000000000000,1911.660633000000,0.000000000000,2047.853323000000,1023.980793000000,0.000000000000,0.000000000000,1.000000000000,0.029733720000,-0.056895841000,-0.141156768000,0.136254664000,-3.123421938000,-0.305225438000,-0.032113111000,-26.485683480000,14.967368440000,181.642434600000,2.538927382000,16,3840,2160,266507.080799999996,4691274.881000000052,0.002500000000,-0.002500000000,5611,4020,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch4_main,20251120,2214.450153000000,0.000000000000,1973.130574000000,0.000000000000,2238.913929000000,1051.993581000000,0.000000000000,0.000000000000,1.000000000000,0.149087605000,-0.918893526000,1.346652838000,-0.713185766000,-3.021378241000,-0.239194936000,-0.011546891000,-21.798949860000,0.367034997000,183.785916300000,2.750325042000,34,3840,2160,266505.695899999992,4691279.616000000387,0.002500000000,-0.002500000000,6022,4834,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch5_main,20251120,2144.779432000000,0.000000000000,1927.915096000000,0.000000000000,2165.966012000000,1042.375122000000,0.000000000000,0.000000000000,1.000000000000,0.016253649000,-0.226874511000,0.179076669000,-0.048239403000,3.095002998000,0.280499538000,-0.164162840000,-3.267273115000,30.795614620000,182.705488300000,2.527046450000,31,3840,2160,266504.709800000011,4691283.701000000350,0.002500000000,-0.002500000000,5985,5175,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch6_main,20251120,2160.222971000000,0.000000000000,1928.793837000000,0.000000000000,2184.223512000000,994.042640400000,0.000000000000,0.000000000000,1.000000000000,-0.010795904000,-0.183657976000,0.188273976000,-0.086510925000,-3.106717581000,-0.267245164000,-0.148385809000,-38.679585590000,22.629085690000,180.405497000000,1.465427939000,30,3840,2160,266504.033600000024,4691286.553000000305,0.002500000000,-0.002500000000,6013,4736,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch7_main,20251120,2007.222232000000,0.000000000000,1887.436578000000,0.000000000000,2030.826848000000,1053.977763000000,0.000000000000,0.000000000000,1.000000000000,0.058350948000,-0.108392012000,-0.129643354000,0.150316286000,3.088359425000,0.384007604000,0.004128635000,-24.643465490000,34.959565940000,180.905142500000,1.993601514000,25,3840,2160,266503.396799999988,4691290.944000000134,0.002500000000,-0.002500000000,5579,5108,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch8_main,20251203,2148.226235000000,0.000000000000,1946.678185000000,0.000000000000,2171.561760000000,1061.510692000000,0.000000000000,0.000000000000,1.000000000000,0.009636819000,-0.135031884000,-0.023574763000,0.075293347000,3.118490804000,0.298296665000,0.079078741000,-31.128927160000,35.033811910000,180.797967300000,2.967634109000,22,3840,2160,266502.381700000027,4691294.440000000410,0.002500000000,-0.002500000000,5699,4758,True,pose-only,2,"[{""X"": 266510.9126, ""Y"": 4691286.204, ""Z"": 177.8801727, ""col"": 2126.5679526784015, ""row"": 1974.9335009421022}, {""X"": 266510.5727, ""Y"": 4691287.695, ""Z"": 177.8799591, ""col"": 2113.6512909723783, ""row"": 1279.5122269681435}, {""X"": 266510.2514, ""Y"": 4691289.206, ""Z"": 177.8722687, ""col"": 2094.9322919738324, ""row"": 527.9011496666899}, {""X"": 266506.9923, ""Y"": 4691289.169, ""Z"": 177.8471985, ""col"": 738.0749298767398, ""row"": 349.15635226378237}, {""X"": 266507.0581, ""Y"": 4691288.887, ""Z"": 177.8495026, ""col"": 727.1139487781936, ""row"": 460.4984499637823}, {""X"": 266507.2984, ""Y"": 4691287.981, ""Z"": 177.8533783, ""col"": 714.9388046781935, ""row"": 854.0987762623286}, {""X"": 266507.4405, ""Y"": 4691287.375, ""Z"": 177.8435822, ""col"": 719.7803717767398, ""row"": 1133.4010309623286}, {""X"": 266507.6334, ""Y"": 4691286.771, ""Z"": 177.8551941, ""col"": 753.186398375286, ""row"": 1412.301760965236}, {""X"": 266507.8514, ""Y"": 4691285.945, ""Z"": 177.853714, ""col"": 810.5036121767398, ""row"": 1769.7137819637824}, {""X"": 266507.9736, ""Y"": 4691285.547, ""Z"": 177.8552246, ""col"": 851.5445466352064, ""row"": 1932.2848770080902}, {""X"": 266506.0925, ""Y"": 4691286.989, ""Z"": 178.1607819, ""col"": 267.97423400493335, ""row"": 1173.9044899652363}, {""X"": 266505.7277, ""Y"": 4691288.436, ""Z"": 178.155365, ""col"": 282.76371012383225, ""row"": 584.2446919637823}, {""X"": 266505.3817, ""Y"": 4691290.085, ""Z"": 178.1680603, ""col"": 408.9364112816327, ""row"": 12.728403246303913}, {""X"": 266513.6311, ""Y"": 4691286.446, ""Z"": 177.8466034, ""col"": 3128.9909614088865, ""row"": 1925.2622580336263}, {""X"": 266513.5837, ""Y"": 4691286.669, ""Z"": 177.8469391, ""col"": 3147.821032978193, ""row"": 1842.7918729637827}, {""X"": 266513.3684, ""Y"": 4691287.698, ""Z"": 177.8507996, ""col"": 3189.1555629738323, ""row"": 1454.2129269666898}, {""X"": 266513.3167, ""Y"": 4691287.947, ""Z"": 177.8500824, ""col"": 3194.2045559752864, ""row"": 1355.96989896669}, {""X"": 266513.0245, ""Y"": 4691289.233, ""Z"": 177.8548737, ""col"": 3186.1609609752863, ""row"": 806.6152073695973}, {""X"": 266512.9759, ""Y"": 4691289.427, ""Z"": 177.8503876, ""col"": 3179.4761579796477, ""row"": 728.0207854695973}, {""X"": 266512.8236, ""Y"": 4691290.43, ""Z"": 177.8519287, ""col"": 3144.2082909796472, ""row"": 340.3968326666898}, {""X"": 266512.7913, ""Y"": 4691290.958, ""Z"": 177.8545837, ""col"": 3131.347560805398, ""row"": 165.8553243634663}, {""X"": 266512.7607, ""Y"": 4691291.44, ""Z"": 177.8536224, ""col"": 3113.084760897959, ""row"": 21.73515947997737}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR2_N910A6_ch1_main,20251203,2550.130325000000,0.000000000000,2162.602406000000,0.000000000000,2549.607249000000,1210.152983000000,0.000000000000,0.000000000000,1.000000000000,-0.038194481000,-0.201898986000,0.351886937000,-0.232337308000,3.037666924000,0.305766494000,-0.032380854000,-19.762471390000,54.353169530000,178.454968900000,2.224823905000,21,4512,2512,266501.741199999989,4691298.424999999814,0.002500000000,-0.002500000000,5634,5199,True,pose-only,1,"[{""X"": 266509.8978, ""Y"": 4691290.635, ""Z"": 177.8704681, ""col"": 2592.499783002908, ""row"": 2108.769929997219}, {""X"": 266509.5731, ""Y"": 4691292.159, ""Z"": 177.8670349, ""col"": 2590.5433679985463, ""row"": 1259.9195809972189}, {""X"": 266509.2885, ""Y"": 4691293.588, ""Z"": 177.8656769, ""col"": 2573.5554339985465, ""row"": 490.43298809285756}, {""X"": 266512.0594, ""Y"": 4691295.425, ""Z"": 177.8432007, ""col"": 3721.5489903806083, ""row"": 154.93848002070666}, {""X"": 266512.2688, ""Y"": 4691294.384, ""Z"": 177.8430481, ""col"": 3817.062494, ""row"": 545.8645252884962}, {""X"": 266512.3669, ""Y"": 4691293.971, ""Z"": 177.8448029, ""col"": 3850.387342998546, ""row"": 718.5326353870428}, {""X"": 266512.6659, ""Y"": 4691292.473, ""Z"": 177.848465, ""col"": 3906.403573001454, ""row"": 1387.0959659870425}, {""X"": 266512.76, ""Y"": 4691291.439, ""Z"": 177.8531342, ""col"": 3855.522772002908, ""row"": 1854.1886739870429}, {""X"": 266512.7898, ""Y"": 4691290.957, ""Z"": 177.8545837, ""col"": 3811.090343998546, ""row"": 2060.1844219899504}, {""X"": 266512.8237, ""Y"": 4691290.431, ""Z"": 177.8519287, ""col"": 3751.93564725877, ""row"": 2274.2710925969914}, {""X"": 266506.9928, ""Y"": 4691289.167, ""Z"": 177.8471985, ""col"": 1031.6207694471273, ""row"": 2406.476957280703}, {""X"": 266506.7463, ""Y"": 4691290.089, ""Z"": 177.8492432, ""col"": 957.1418063970925, ""row"": 1981.2481459957653}, {""X"": 266506.6809, ""Y"": 4691290.344, ""Z"": 177.8506622, ""col"": 942.9503593941849, ""row"": 1852.3935639899505}, {""X"": 266506.3075, ""Y"": 4691291.836, ""Z"": 177.8548584, ""col"": 909.9808899970925, ""row"": 1092.295128991404}, {""X"": 266506.237, ""Y"": 4691292.091, ""Z"": 177.8566284, ""col"": 913.0591714970925, ""row"": 960.9551171914038}, {""X"": 266505.0777, ""Y"": 4691291.466, ""Z"": 178.1764679, ""col"": 393.92299949709246, ""row"": 1137.1969949914037}, {""X"": 266505.3843, ""Y"": 4691290.085, ""Z"": 178.1680603, ""col"": 406.80620199854616, ""row"": 1795.8077739899504}, {""X"": 266505.7286, ""Y"": 4691288.43, ""Z"": 178.155365, ""col"": 534.9285574081632, ""row"": 2488.5599706405897}, {""X"": 266505.9419, ""Y"": 4691293.216, ""Z"": 177.8523712, ""col"": 956.9161510941849, ""row"": 432.1987686899501}, {""X"": 266505.9059, ""Y"": 4691293.357, ""Z"": 177.8518372, ""col"": 964.4394137956386, ""row"": 373.37081398849625}, {""X"": 266504.7412, ""Y"": 4691292.992, ""Z"": 178.1688843, ""col"": 485.3213155970925, ""row"": 455.9950347899501}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR2_N910A6_ch2_main,20251203,2513.577722000000,0.000000000000,2291.324141000000,0.000000000000,2517.852619000000,1187.770699000000,0.000000000000,0.000000000000,1.000000000000,-0.054892153000,-0.003305135000,0.007703872000,-0.068613020000,3.024404701000,0.371582001000,0.067585419000,-33.439211060000,56.599188900000,176.569537700000,4.711171458000,16,4512,2512,266501.083900000027,4691301.134999999776,0.002500000000,-0.002500000000,5673,4458,True,pose-only,4,"[{""X"": 266509.2938, ""Y"": 4691293.589, ""Z"": 177.8656769, ""col"": 2643.5776912674123, ""row"": 2423.205277553787}, {""X"": 266509.0348, ""Y"": 4691295.152, ""Z"": 177.8631287, ""col"": 2730.2150425485834, ""row"": 1644.1582948682817}, {""X"": 266508.7229, ""Y"": 4691296.631, ""Z"": 177.8638611, ""col"": 2742.6164475485834, ""row"": 841.845949868282}, {""X"": 266508.4239, ""Y"": 4691298.135, ""Z"": 177.8688965, ""col"": 2736.2502075853367, ""row"": 140.51609286373872}, {""X"": 266511.5619, ""Y"": 4691297.882, ""Z"": 177.835556, ""col"": 3909.997731976579, ""row"": 704.4810415062811}, {""X"": 266511.7642, ""Y"": 4691296.924, ""Z"": 177.8430634, ""col"": 3943.313937024582, ""row"": 1089.728748584295}, {""X"": 266512.2677, ""Y"": 4691294.384, ""Z"": 177.8430481, ""col"": 3856.86766473858, ""row"": 2181.2748323442806}, {""X"": 266505.906, ""Y"": 4691293.357, ""Z"": 177.8518372, ""col"": 990.1726777385798, ""row"": 2084.5068978682816}, {""X"": 266505.938, ""Y"": 4691293.212, ""Z"": 177.8523712, ""col"": 998.3814287385799, ""row"": 2149.9459296782857}, {""X"": 266505.5356, ""Y"": 4691294.805, ""Z"": 177.8445587, ""col"": 951.2085934765789, ""row"": 1357.7962156782855}, {""X"": 266505.3497, ""Y"": 4691295.524, ""Z"": 177.8509827, ""col"": 963.7717917625812, ""row"": 988.1109339922834}, {""X"": 266505.1479, ""Y"": 4691296.267, ""Z"": 177.8459625, ""col"": 995.3302792625811, ""row"": 626.1502084782859}, {""X"": 266505.0963, ""Y"": 4691296.477, ""Z"": 177.8459778, ""col"": 1011.1903107385797, ""row"": 527.1543640402865}, {""X"": 266504.7696, ""Y"": 4691297.742, ""Z"": 177.8557892, ""col"": 1108.7218062887, ""row"": 9.254476181160328}, {""X"": 266504.0839, ""Y"": 4691295.938, ""Z"": 178.1613007, ""col"": 538.549787876579, ""row"": 649.2712474922835}, {""X"": 266504.7403, ""Y"": 4691292.988, ""Z"": 178.1688843, ""col"": 507.0400915905767, ""row"": 2055.0345393922835}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
